output,status,land,labor,labor_family,labor_hired,seed,urea,phosphate,pesticide,region
4400,owner,0.857,1145,130,1015,25,200,50,0,ciwangi
4950,owner,0.857,1295,130,1165,25,200,50,0,ciwangi
2200,owner,0.858,640,160,480,25,100,50,0,ciwangi
3800,owner,1.071,1700,370,1330,35,250,125,0,ciwangi
4125,owner,0.858,1301,142,1159,25,200,100,24000,ciwangi
4125,owner,0.858,1301,142,1159,25,200,100,0,ciwangi
330,owner,0.071,75,50,25,3,25,10,0,ciwangi
330,owner,0.071,75,50,25,3,25,10,0,ciwangi
250,owner,0.071,68,38,30,3,16,4,0,ciwangi
100,owner,0.071,51,51,1,2,20,10,0,ciwangi
960,owner,0.182,176,86,90,10,35,20,0,ciwangi
1408,mixed,0.325,345,205,140,18,60,40,0,ciwangi
1650,owner,0.5,333,33,300,15,150,50,0,ciwangi
1540,owner,0.5,208,33,175,15,150,50,0,ciwangi
2860,owner,0.571,767,287,480,25,250,50,2900,ciwangi
2370,owner,0.786,938,263,675,25,150,100,1200,ciwangi
2420,mixed,0.801,715,165,550,24,500,200,3000,ciwangi
2200,mixed,0.801,715,165,550,24,500,200,0,ciwangi
3300,owner,0.714,545,45,500,25,150,50,0,ciwangi
3410,owner,0.714,520,45,475,25,150,50,0,ciwangi
2403,owner,0.715,603,248,355,35,125,25,0,ciwangi
2200,owner,0.715,655,50,605,32,100,50,0,ciwangi
3000,owner,0.429,435,25,410,20,100,100,0,ciwangi
3000,owner,0.249,435,25,410,20,100,100,0,ciwangi
3250,owner,0.428,580,195,385,14,125,75,0,ciwangi
3000,owner,0.428,645,200,445,16,80,75,0,ciwangi
2700,owner,0.4,504,284,220,17,150,75,0,ciwangi
1350,owner,0.428,485,285,200,20,120,40,0,ciwangi
2090,owner,0.3,252,77,175,13,80,45,0,ciwangi
1870,owner,0.3,266,91,175,13,80,45,0,ciwangi
1312,mixed,0.328,790,290,500,12,150,50,0,ciwangi
340,mixed,0.071,150,85,65,5,25,8,0,ciwangi
1888,mixed,0.54,599,239,360,20,125,25,0,ciwangi
600,mixed,0.33,403,213,190,5,75,25,0,ciwangi
1565,mixed,0.35,332,102,230,18,75,25,0,ciwangi
1280,mixed,0.35,320,180,140,20,75,25,0,ciwangi
660,mixed,0.178,225,80,145,5,35,15,0,ciwangi
450,mixed,0.178,210,75,135,6,35,15,0,ciwangi
770,mixed,0.25,165,105,60,8,50,25,0,ciwangi
260,mixed,0.244,144,84,60,6,1,0,0,ciwangi
445,owner,0.107,71,41,30,7,40,10,0,ciwangi
275,owner,0.107,91,46,45,5,40,10,0,ciwangi
2330,owner,0.5,420,85,335,20,200,50,1000,ciwangi
1400,owner,0.25,245,55,190,20,100,50,500,ciwangi
2283,owner,0.714,338,63,275,23,150,35,1500,ciwangi
1210,owner,0.5,392,47,345,25,25,10,60,ciwangi
3305,owner,0.658,913,178,735,18,200,200,0,ciwangi
2843,owner,0.336,355,60,295,10,100,100,620,ciwangi
330,mixed,0.1,115,45,70,5,20,10,0,ciwangi
275,mixed,0,145,55,90,5,20,10,0,ciwangi
385,mixed,0.1,138,108,30,10,12,3,0,ciwangi
250,mixed,0.1,128,128,1,4,18,7,0,ciwangi
1295,mixed,0.4,730,555,175,13,83,37,0,ciwangi
450,owner,0.157,300,270,30,5,27,13,0,ciwangi
150,owner,0.05,85,60,25,4,15,5,0,ciwangi
100,owner,0,54,39,15,2,5,2,0,ciwangi
200,owner,0.05,50,50,1,2,12,3,0,ciwangi
90,owner,0.05,37,37,1,2,10,5,0,ciwangi
760,mixed,0.1,189,124,65,4,55,20,0,ciwangi
430,mixed,0.1,185,120,65,4,35,20,0,ciwangi
750,owner,0.214,265,145,120,5,50,25,0,ciwangi
500,owner,0.142,210,130,80,8,25,15,0,ciwangi
666,owner,0.174,278,278,1,10,50,25,0,ciwangi
530,owner,0.143,186,121,65,4,35,10,0,ciwangi
874,owner,0.215,270,240,30,8,75,38,0,ciwangi
400,owner,0.243,239,219,20,5,50,25,0,ciwangi
600,owner,0.2,235,90,145,7,70,30,0,ciwangi
710,owner,0.2,220,90,130,7,70,30,0,ciwangi
650,owner,0.286,241,151,90,8,85,20,300,ciwangi
645,owner,0.286,242,72,170,8,70,25,0,ciwangi
3760,mixed,0.786,941,311,630,22,158,90,0,ciwangi
2750,mixed,0.501,706,261,445,14,93,45,0,ciwangi
